Date,pcp CHIRPSc,pcp CHIRPS
"Aug 1, 2017",14.862,12.128
"Sep 1, 2017",36.437,23.775
"Oct 1, 2017",53.05,33.971
"Nov 1, 2017",45.427,44.759
"Dec 1, 2017",113.624,108.195
"Jan 1, 2018",143.311,131.228
"Feb 1, 2018",44.127,38.918
"Mar 1, 2018",94.517,80.16
"Apr 1, 2018",35.058,26.775
"May 1, 2018",65.531,41.485
"Jun 1, 2018",17.269,17.315
"Jul 1, 2018",39.285,21.865
"Aug 1, 2018",53.894,44.087
"Sep 1, 2018",34.376,22.388
"Oct 1, 2018",155.884,99.671
"Nov 1, 2018",118.31,116.425
"Dec 1, 2018",162.878,154.854
"Jan 1, 2019",106.51,97.679
"Feb 1, 2019",136.29,119.708
"Mar 1, 2019",119.509,101.367
"Apr 1, 2019",120.939,92.546
"May 1, 2019",89.55,56.588
"Jun 1, 2019",25.939,25.23
"Jul 1, 2019",63.384,35.457
"Aug 1, 2019",12.414,10.354
"Sep 1, 2019",63.246,41.225
"Oct 1, 2019",37.803,24.178
"Nov 1, 2019",187.486,185.45
"Dec 1, 2019",129.091,121.932
"Jan 1, 2020",131.098,119.855
"Feb 1, 2020",224.638,196.791
"Mar 1, 2020",93.255,78.786
"Apr 1, 2020",53.338,40.818
"May 1, 2020",87.504,55.341
"Jun 1, 2020",38.53,37.334
"Jul 1, 2020",38.409,21.356
"Aug 1, 2020",97.496,80.002
"Sep 1, 2020",20.785,13.646
"Oct 1, 2020",31.63,20.214
"Nov 1, 2020",51.497,50.788
"Dec 1, 2020",104.019,98.576
